Température maximale de la journée
Année;Max
15-12-2000;10,7
16-12-2000;10,8
17-12-2000;10,1
18-12-2000;12,9
19-12-2000;13,3
20-12-2000;14,1
21-12-2000;15,5
22-12-2000;16,1
23-12-2000;13,4
24-12-2000;13,5
25-12-2000;10,8
26-12-2000;11,6
27-12-2000;10,2
28-12-2000;6,5
29-12-2000;7,7
30-12-2000;6,1
31-12-2000;7,9
1-1-2001;10,5
2-1-2001;14,5
3-1-2001;11,2
4-1-2001;13,5
5-1-2001;13,6
6-1-2001;10,3
7-1-2001;10,1
8-1-2001;6,7
9-1-2001;8,0
10-1-2001;14,2
11-1-2001;13,3
12-1-2001;14,5
13-1-2001;8,4
14-1-2001;1,6
15-1-2001;3,5
16-1-2001;9,9
17-1-2001;8,4
18-1-2001;7,3
19-1-2001;10,9
20-1-2001;7,5
21-1-2001;13,4
22-1-2001;10,6
23-1-2001;14,0
24-1-2001;13,9
25-1-2001;12,3
26-1-2001;11,5
27-1-2001;11,0
28-1-2001;10,5
29-1-2001;8,6
30-1-2001;9,6
31-1-2001;11,8
1-2-2001;8,0
2-2-2001;10,3
3-2-2001;12,6
4-2-2001;15,7
5-2-2001;12,9
6-2-2001;12,4
